,rank,song_title,artist
0,1,Blinding Lights,The Weeknd
1,2,Circles,Post Malone
2,3,The Box,Roddy Ricch
3,4,Don't Start Now,Dua Lipa
4,5,Rockstar,DaBaby Featuring Roddy Ricch
5,6,Adore You,Harry Styles
6,7,Life Is Good,Future Featuring Drake
7,8,Memories,Maroon 5
8,9,The Bones,Maren Morris
9,10,Someone You Loved,Lewis Capaldi
10,11,Say So,Doja Cat
11,12,I Hope,Gabby Barrett Featuring Charlie Puth
12,13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
13,14,Dance Monkey,Tones And I
14,15,Savage,Megan Thee Stallion
15,16,Roxanne,Arizona Zervas
16,17,Intentions,Justin Bieber Featuring Quavo
17,18,Everything I Wanted,Billie Eilish
18,19,Roses,SAINt JHN
19,20,Watermelon Sugar,Harry Styles
20,21,Before You Go,Lewis Capaldi
21,22,Falling,Trevor Daniel
22,23,"10,000 Hours",Dan + Shay & Justin Bieber
23,24,WAP,Cardi B Featuring Megan Thee Stallion
24,25,Ballin',Mustard & Roddy Ricch
25,26,Hot Girl Bummer,blackbear
26,27,Blueberry Faygo,Lil Mosey
27,28,Heartless,The Weeknd
28,29,BOP,DaBaby
29,30,Lose You To Love Me,Selena Gomez
30,31,Good As Hell,Lizzo
31,32,Toosie Slide,Drake
32,33,Break My Heart,Dua Lipa
33,34,Chasin' You,Morgan Wallen
34,35,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
35,36,No Guidance,Chris Brown Featuring Drake
36,37,My Oh My,Camila Cabello Featuring DaBaby
37,38,Dynamite,BTS
38,39,Go Crazy,Chris Brown & Young Thug
39,40,High Fashion,Roddy Ricch Featuring Mustard
40,41,Laugh Now Cry Later,Drake Featuring Lil Durk
41,42,Woah,Lil Baby
42,43,Death Bed,Powfu Featuring beabadoobee
43,44,Senorita,Shawn Mendes & Camila Cabello
44,45,HIGHEST IN THE ROOM,Travis Scott
45,46,Bad Guy,Billie Eilish
46,47,Mood,24kGoldn Featuring iann dior
47,48,Rain On Me,Lady Gaga & Ariana Grande
48,49,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
49,50,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
50,51,Heart On Ice,Rod Wave
51,52,Nobody But You,Blake Shelton Duet With Gwen Stefani
52,53,Trampoline,SHAED
53,54,Come & Go,Juice WRLD x Marshmello
54,55,Truth Hurts,Lizzo
55,56,If The World Was Ending,JP Saxe Featuring Julia Michaels
56,57,We Paid,Lil Baby & 42 Dugg
57,58,Yummy,Justin Bieber
58,59,One Man Band,Old Dominion
59,60,Got What I Got,Jason Aldean
60,61,Sunday Best,Surfaces
61,62,Godzilla,Eminem Featuring Juice WRLD
62,63,Bandit,Juice WRLD & YoungBoy Never Broke Again
63,64,Party Girl,StaySolidRocky
64,65,Die From A Broken Heart,Maddie & Tae
65,66,Popstar,DJ Khaled Featuring Drake
66,67,All I Want For Christmas Is You,Mariah Carey
67,68,One Of Them Girls,Lee Brice
68,69,Hard To Forget,Sam Hunt
69,70,One Margarita,Luke Bryan
70,71,Panini,Lil Nas X
71,72,Hot,Young Thug Featuring Gunna
72,73,I Hope You're Happy Now,Carly Pearce & Lee Brice
73,74,Emotionally Scarred,Lil Baby
74,75,Suicidal,YNW Melly & Juice WRLD
75,76,The Bigger Picture,Lil Baby
76,77,Only Human,Jonas Brothers
77,78,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
78,79,Sum 2 Prove,Lil Baby
79,80,Stuck With U,Ariana Grande & Justin Bieber
80,81,Mood Swings,Pop Smoke Featuring Lil Tjay
81,82,You Should Be Sad,Halsey
82,83,Dior,Pop Smoke
83,84,Supalonely,BENEE Featuring Gus Dapperton
84,85,Even Though I'm Leaving,Luke Combs
85,86,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
86,87,Juicy,Doja Cat & Tyga
87,88,Be Like That,Kane Brown With Swae Lee & Khalid
88,89,Homesick,Kane Brown
89,90,Rags2Riches,Rod Wave Featuring ATR Son Son
90,91,Bluebird,Miranda Lambert
91,92,Wishing Well,Juice WRLD
92,93,Does To Me,Luke Combs Featuring Eric Church
93,94,P*$$y Fairy (OTW),Jhene Aiko
94,95,ily,Surf Mesa Featuring Emilee
95,96,More Than My Hometown,Morgan Wallen
96,97,Lovin' On You,Luke Combs
97,98,Said Sum,Moneybagg Yo
98,99,Slide,H.E.R. Featuring YG
99,100,Walk Em Down,NLE Choppa Featuring Roddy Ricch
